Tergeo	                 ,Spell,	Cleans up messes
Titillando 	            ,Hex  ,	Tickles target and weakens
Transmogrify	           ,Spell,	Deforms the body of the target
Unbreakable Vow	        ,Spell,	If you break the vow you make you die
Ventus	                 ,Spell,	Shoots a gust of hurricane force wind from wand
Ventus Duo	             ,Spell,	Stronger than Ventus
Vera Verto	             ,Spell,	turns animals into water
Verdillious	            ,Spell,	Causes wand damage foe
Vermillious	            ,Charm,	Causes wand damage foe
Verdimillious	          ,Spell,	Reveals objects and damages
Verdimillious Duo	      ,Spell,	More powerful than Verdimillious
Vipera Evanesca	        ,Spell,	Makes Snakes Vanish
Vulnera Sanentur	       ,Spell,	Heals victims
Waddiwasi	              ,Spell,	Unsticks an object
Wingardium Leviosa	     ,Charm,	Makes on object fly
